name	default	mididev	midictl	global	label
post_bloom_amount	0	bcr2000	s3	1	bloom
post_bypass	0			1	
post_colorspread_dist	0			1	color spread
post_contrast	0	bcr2000	s27	1	contrast
post_distort_rate	.2	bcr2000	s28	1	distort rate
post_distort_amt	.4	bcr2000	s29	1	distort amount
post_echo_length	0.1	bcr2000	s1	1	echo length
post_echo_mix	0	bcr2000	s2	1	echo mix
post_edgestrength	0	bcr2000	s30	1	edge strength
post_saturation	.8	bcr2000	s23	1	saturation
post_stutterlength	0.3	bcr2000	s8	1	stutter length
post_stutteron	0	bcr2000	b24	1	stutter on
post_timablend	0	bcr2000	s4	1	tima blend
tree_opacity	.6	bcr2000	s22		tree opacity
tree_angle	.3	bcr2000	s9		tree angle
cam_distance	.2	bcr2000	s20	1	cam distance
cam_pulse	0			1	
cam_reset	0			1	
cam_rate	.7	bcr2000	s31	1	cam rate
cam_rot_center	.25	bcr2000	s25	1	cam rotate center
cam_rot_width	.15	bcr2000	s26	1	cam rotate width
time_switch_on	0	bcr2000	b23		time switch on
time_switch_rate	.5	bcr2000	s7		time switch rate
time_switch_bias	0.2	bcr2000	s24		time switch bias
tree_rate	.4	bcr2000	s18		tree rate
tree_reverse	0	bcr2000	b9		tree reverse
tree_timezigzag	0	bcr2000	b10		tree time zigzag
tree_timeloop	1	bcr2000	b11		tree time loop
tree_timemin	0	bcr2000	s5		tree time min
tree_timemax	1	bcr2000	s6		tree time max
tree_timereset	0	bcr2000	s7		tree time reset
treenet_opacity	.6	bcr2000	s21		tree net opacity
treenet_fillopacity	.3	bcr2000	s15		tree net fill opacity
path_rate	.3	bcr2000	s17		path rate
path_opacity	.1	bcr2000	s16		path opacity
point_trigger1	0	zerosl	b17		point trigger 1
point_trigger2	0	zerosl	b18		point trigger 2
point_brightness1	.5	zerosl	s17		point brightness 1
point_brightness2	.5	zerosl	s18		point brightness 2
point_alpha	.2	bcr2000	s32		point alpha
tree_warpsize	.3	bcr2000	s14		warp size
tree_warpspin	.4	bcr2000	s13		warp spin
